철도운영기관명,선명,역명,상하행구분,출입구번호,상세위치,시작층,종료층
대전교통공사,1호선,용문,상행,2,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,용문,상행,3,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,용문,상행,6,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,노은,상행,내부,(B2) 월드컵경기장역 방향 승강장 4-2 출입문 근처 ,지하(2),지하(1)
대전교통공사,1호선,노은,상행,내부,(B2) 지족역 방향 승강장 2-4 출입문 근처 ,지하(2),지하(1)
대전교통공사,1호선,노은,상행,내부,(B2) 지족역 방향 승강장 3-3 출입문 근처 ,지하(2),지하(1)
대전교통공사,1호선,지족(침신대),하행,내부,(B1) 노은역 방향 승강장 2-2 출입문 근처 ,지하(1),지상(1)
대전교통공사,1호선,지족(침신대),상행,내부,(B1) 노은역 방향 승강장 4-4 출입문 근처 ,지하(1),지상(1)
대전교통공사,1호선,지족(침신대),상행,내부,(B1) 반석역 방향 승강장 2-2 출입문 근처 ,지하(1),지상(1)
대전교통공사,1호선,지족(침신대),상행,내부,(B1) 반석역 방향 승강장 5-4 출입문 근처 ,지하(1),지상(1)
대전교통공사,1호선,반석(칠성대),상행,1,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,반석(칠성대),상행,2,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,반석(칠성대),하행,내부,(B1) 대합실 ,지하(1),지하(2)
대전교통공사,1호선,반석(칠성대),하행,내부,(B1) 대합실 ,지하(1),지하(2)
